label,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,test_score,mean_train_score,mean_validation_score
HNSC,entropy,20,1,40,50,0.7548309178743962,0.8978200475170173,0.8194435103451496
STAD,entropy,30,1,10,100,0.7722323049001816,0.9711127571311096,0.785001665001665
COAD,gini,20,1,10,200,0.8784029038112522,0.9736985634212207,0.8914418914418913
ESCA,gini,10,1,10,1,0.6299019607843137,0.711817057178144,0.5935338345864661
READ,entropy,10,1,20,1,0.5571428571428572,0.6407173408136868,0.5529249547920434
