label,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,test_score,mean_train_score,mean_validation_score
HNSC,gini,21,61,1,42,51,0.7922705314009661,0.9402205662678312,0.8451345102984448
STAD,gini,11,101,1,2,101,0.7722323049001816,0.9746057203956162,0.8339194139194139
COAD,gini,11,61,1,42,101,0.9219600725952812,0.9522089274700546,0.9243656343656343
ESCA,entropy,11,81,1,22,1,0.5261437908496732,0.78763999446966,0.716555023923445
READ,gini,11,61,1,2,1,0.5,0.8273710666223785,0.6775203435804701
