label,rf__criterion,rf__max_depth,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,transformer__n_components,test_accuracy_score,mean_train_score,mean_test_score
HNSC,entropy,20,1,40,50,3,0.677536231884058,0.8259928681388564,0.79383704637803
STAD,entropy,30,1,10,100,3,0.7554446460980035,0.9056766944653598,0.6613686313686313
COAD,gini,20,1,10,200,4,0.852087114337568,0.9527194541833325,0.8778055278055279
ESCA,gini,10,1,10,1,4,0.4411764705882353,0.7294574256680001,0.5522351332877649
READ,entropy,10,1,20,1,2,0.6357142857142857,0.6975751187365319,0.5994688065099457
