label,rf__criterion,rf__max_depth,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,transformer__n_components,test_accuracy_score,mean_train_score,mean_test_score
HNSC,entropy,20,1,40,50,54,0.7548309178743962,0.9082153754595149,0.8363061043388912
STAD,entropy,30,1,10,100,10,0.7636116152450091,0.9252973208643918,0.795900765900766
COAD,gini,20,1,10,200,52,0.9047186932849365,0.9592534646074122,0.8944955044955044
ESCA,gini,10,1,10,1,46,0.5522875816993464,0.7792552071349641,0.6891011619958989
READ,entropy,10,1,20,1,93,0.5571428571428572,0.6780982378801057,0.6656396925858952
