label,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,test_score,mean_train_score,mean_validation_score
HNSC,entropy,20,1,40,50,0.7455716586151369,0.8906344127746835,0.7867037971136333
STAD,entropy,30,1,10,100,0.780852994555354,0.9718924060663319,0.7768231768231768
COAD,gini,20,1,10,200,0.8870235934664247,0.9740275595201787,0.8702530802530802
ESCA,gini,10,1,10,1,0.5187908496732027,0.7394363464056402,0.6329801777170199
READ,entropy,10,1,20,1,0.5571428571428572,0.670942538622573,0.5896948462929477
